N,Time
1,1.628734608
1,1.798060335
1,1.691295628
1,1.911400338
1,2.138589134
1,1.950496670
1,1.874878010
1,1.940224660
1,1.740704930
1,1.723892321
2,1.802468516
2,1.818200878
2,1.823591344
2,1.839648946
2,1.823864602
2,1.851260573
2,1.875687062
2,1.867223730
2,1.862023895
2,1.895301290
3,2.984214186
3,2.948533983
3,3.054436639
3,3.212777844
3,3.053202560
3,2.878401759
3,3.318286731
3,2.874104323
3,2.993025838
3,3.145202424
4,3.950724366
4,3.982679747
4,4.209522698
4,3.982699463
4,4.047278887
4,3.986445872
4,3.987290513
4,4.103730201
4,3.997767690
4,4.054865451
5,5.016021068
5,5.081185921
5,5.072550098
5,5.107723684
5,5.069152847
5,4.919778488
5,4.982056143
5,5.523659481
5,5.087741586
5,5.034777329
6,6.463907125
6,5.889643391
6,6.120858088
6,6.051957585
6,6.009242390
6,6.112985513
6,6.017047173
6,5.945288304
6,6.041157561
6,6.070957271
7,7.130907162
7,7.097145905
7,7.106171132
7,7.154405817
7,7.143405364
7,7.084562759
7,7.218002961
7,7.146422398
7,7.047910876
7,7.117238247
8,8.276376901
8,8.079714931
8,8.250819601
8,8.209356253
8,8.225944957
8,8.249592330
8,8.326522306
8,8.117299123
8,8.128116969
8,8.276645469
9,9.271990492
9,9.223197884
9,9.296038207
9,9.248598849
9,9.270577009
9,9.252880111
9,9.382555040
9,9.808385729
9,9.376358878
9,11.058856149
10,10.318740327
10,10.191489930
10,10.498717943
10,10.266701707
10,10.322572601
10,10.189834051
10,10.258012090
10,10.291867358
10,10.272775044
10,10.404997345
11,11.269470129
11,11.335519542
11,11.303477736
11,11.646748495
11,11.504665098
11,11.374957678
11,11.331324355
11,11.299029635
11,11.351260545
11,11.466671335
12,12.486525372
12,12.250820279
12,12.419639760
12,12.443935532
12,12.157412093
12,12.181855713
12,12.170015592
12,12.159476974
12,12.182119567
12,12.340442600
13,13.279525977
13,13.359134495
13,13.461268715
13,13.527560157
13,13.596901537
13,13.654579365
13,13.690779494
13,13.858472673
13,13.437008993
13,13.334138987
14,14.625237728
14,14.511692950
14,14.532165115
14,14.595076191
14,14.483474528
14,14.482411036
14,14.339176456
14,14.396747723
14,14.352221039
14,14.659627059
15,15.793701297
15,15.599019940
15,15.594990223
15,15.446783558
15,15.667966495
15,15.435114227
15,15.545037479
15,15.699127290
15,15.642102645
15,15.589993209
16,16.504500308
16,16.484122518
16,16.703758897
16,16.971927168
16,16.609944866
16,16.623190456
16,16.512001826
16,16.500743429
16,16.569858123
16,16.613902585
17,18.189401127
17,17.833616634
17,17.689288512
17,17.872791124
17,17.782629999
17,17.681415646
17,17.668981456
17,17.617717837
17,17.950846998
17,17.713560294
18,18.904165629
18,18.736827553
18,18.820959205
18,18.695738761
18,18.780578703
18,18.897957970
18,18.852175764
18,18.494096117
18,18.412817227
18,18.521586980
19,19.848747308
19,19.570238138
19,19.542308348
19,19.416902233
19,19.685888663
19,19.489759790
19,19.391994030
19,19.559955534
19,20.033590557
19,20.031937960
20,20.654214714
20,20.913934334
20,20.652966268
20,21.011095367
20,20.748408887
20,20.737671051
20,20.781724048
20,20.664442075
20,20.473335993
20,20.806375463
