N,Time
1,1.715795219
1,1.710044210
1,1.718524945
1,2.047803228
1,1.644206736
1,1.689783015
1,1.838954600
1,1.745767592
1,1.685826617
1,1.844010353
2,3.469707158
2,3.556522526
2,3.366923160
2,3.724537150
2,3.257683823
2,3.799305189
2,3.373320311
2,3.405991602
2,3.791844153
2,3.498904717
3,5.610573167
3,5.183218219
3,5.417060708
3,5.547129898
3,5.496254718
3,5.451593813
3,5.566928685
3,5.558413494
3,5.788300504
3,5.562253045
4,7.538540698
4,7.605685717
4,7.548598800
4,7.514826649
4,7.434509182
4,7.825245685
4,7.608397856
4,7.564904038
4,6.996900227
4,7.193460780
5,9.306441629
5,8.851924162
5,8.777666020
5,9.483889536
5,9.085127599
5,9.024566898
5,8.978312766
5,9.120381837
5,9.452089275
5,9.869939526
6,11.783689696
6,11.189285404
6,11.177517412
6,10.566362695
6,11.029300587
6,11.210099122
6,11.118811150
6,10.392750170
6,10.361920651
6,10.209963845
7,12.466876813
7,12.084937342
7,12.477346798
7,12.179186798
7,11.873952165
7,11.843366368
7,12.678838401
7,12.726676788
7,12.730212796
7,12.798068462
8,14.821457370
8,14.435916140
8,14.523537445
8,14.217967383
8,15.013212082
8,15.457747251
8,15.232542779
8,15.358129804
8,15.862262730
8,14.099558589
9,16.963415191
9,17.382388337
9,17.345200652
9,17.425603158
9,17.223798528
9,16.732091438
9,16.878885241
9,17.109299053
9,17.191660624
9,16.906307462
10,18.126467778
10,17.905351170
10,19.209912485
10,19.738845830
10,19.732092649
10,19.157411136
10,19.447770315
10,19.759322312
10,20.287751941
10,20.159464931
11,20.791334362
11,21.497039917
11,20.102852674
11,20.544037483
11,20.532355448
11,21.311293717
11,21.538331357
11,20.103952689
11,19.840285580
11,18.630178186
12,20.364135832
12,21.670080298
12,21.643519148
12,21.490093627
12,21.158311430
12,21.144762072
12,22.048890274
12,21.830243154
12,20.873863014
12,21.702061037
13,24.906508826
13,25.147658463
13,24.987997538
13,23.996660951
13,22.259340537
13,23.947716131
13,23.396741559
13,23.476496677
13,23.509854185
13,23.832977438
14,24.291564728
14,26.100240114
14,25.730444316
14,26.186718760
14,25.714447689
14,24.510406760
14,25.735915677
14,26.173336348
14,26.364994159
14,26.399148044
15,28.766680868
15,28.212804592
15,28.505275197
15,26.428258301
15,28.170639662
15,28.496237020
15,26.464540562
15,25.925951201
15,27.106715489
15,26.652933194
16,29.423913378
16,27.889373578
16,29.881672169
16,29.556321815
16,29.119375507
16,29.489343588
16,34.063881538
16,31.153103770
16,35.559364552
16,32.742445781
17,30.887689449
17,31.991038227
17,32.632444925
17,29.776889610
17,31.520758012
17,31.052241671
17,30.607693063
17,31.743012105
17,29.189402687
17,29.779914424
18,33.847324078
18,34.684997896
18,34.361963168
18,34.856477588
18,33.787043643
18,34.920679948
18,33.242463499
18,35.306652804
18,35.133686572
18,34.885486199
19,36.285093936
19,36.842991759
19,37.646709327
19,36.811403610
19,38.507552838
19,34.221910551
19,36.944870379
19,38.201715781
19,37.890898902
19,37.701634249
20,37.832147883
20,37.356621664
20,39.107989435
20,37.694965934
20,36.159853150
20,38.495421770
20,38.578791664
20,38.949082369
20,38.712672637
20,38.012043757
