N,Time
1,.172060052
1,.159149517
1,.162675252
1,.217945394
1,.164228586
1,.184040802
1,.188010138
1,.158902472
1,.165243482
1,.159583080
2,.333133451
2,.323482997
2,.317727052
2,.354896622
2,.310626663
2,.317898858
2,.317464764
2,.322486507
2,.315150366
2,.315573024
3,.489105521
3,.490490161
3,.463231743
3,.477127573
3,.468406719
3,.480590250
3,.468593574
3,.477067881
3,.484244103
3,.473466291
4,.632306194
4,.644482988
4,.620967193
4,.628843711
4,.619506286
4,.638157160
4,.614645113
4,.629687967
4,.623066992
4,.621402063
5,.800125731
5,.781681862
5,.785377794
5,.774114181
5,.777248344
5,.783238257
5,.787216049
5,.795042624
5,.840852732
5,.848295329
6,1.120044286
6,.945667306
6,.954431598
6,.946048126
6,.973463472
6,.943090084
6,.938975221
6,.915702160
6,.938541937
6,.940308245
7,1.104898142
7,1.235230456
7,1.091279516
7,1.146423859
7,1.095509963
7,1.103889984
7,1.145164490
7,1.091774357
7,1.090927219
7,1.105560171
8,1.419153580
8,1.327157109
8,1.262482106
8,1.244545158
8,1.261494112
8,1.320874646
8,1.256367954
8,1.252660630
8,1.234428148
8,1.323298736
9,1.428163571
9,1.451157173
9,1.411295729
9,1.509262138
9,1.411632856
9,1.535184353
9,1.844233299
9,1.651853926
9,1.610374949
9,1.535850101
10,1.667742395
10,1.609020654
10,1.591206491
10,1.621380000
10,1.749197403
10,1.583807991
10,1.727898341
10,1.678635504
10,1.630815765
10,1.717895607
11,2.044946457
11,2.111308891
11,2.052297896
11,1.868448342
11,1.725656969
11,2.102561407
11,1.824012622
11,2.108126007
11,2.058204805
11,2.408451987
12,2.530686384
12,2.032116245
12,2.125476393
12,2.005206903
12,2.054613619
12,2.044408253
12,2.157869400
12,2.070029167
12,1.894503154
12,1.925325745
13,2.104067738
13,2.229961384
13,3.158309597
13,2.970313268
13,2.731683306
13,2.948801385
13,2.219031795
13,2.740528580
13,3.580210040
13,2.939809476
14,3.664056519
14,2.683795204
14,2.831875019
14,3.083597661
14,2.232862934
14,2.178195783
14,2.168404573
14,2.184549614
14,2.185819903
14,2.192742017
15,2.428234248
15,2.726867726
15,2.368699703
15,2.387590263
15,2.357485844
15,2.357582415
15,2.326631548
15,2.345734273
15,2.333620200
15,2.351410018
16,2.532517632
16,2.550106700
16,2.561334701
16,2.598033756
16,2.485543165
16,2.484227415
16,2.476075212
16,2.482353435
16,2.457356023
16,2.484033330
17,2.672481746
17,2.898313874
17,3.059005762
17,2.692963671
17,2.676161877
17,2.639653482
17,2.615266375
17,2.629497059
17,2.668902091
17,2.622224410
18,2.816890086
18,2.814258495
18,2.857881034
18,2.795746142
18,2.807950804
18,2.788990949
18,2.896304945
18,2.832561609
18,2.823705915
18,2.856160288
19,3.091479775
19,2.964387999
19,2.973487532
19,2.959702924
19,2.980813561
19,2.953715132
19,2.949864056
19,2.935400352
19,2.970421225
19,2.908441397
20,3.154401282
20,3.143633908
20,3.129311534
20,3.124040563
20,3.124701657
20,3.262095662
20,3.259093252
20,3.102174931
20,3.094311319
20,3.079796248
