N,Time
1,1.595372357
1,1.584340290
1,1.657537786
1,1.620892465
1,1.645457764
1,1.662471155
1,1.692058826
1,1.693700515
1,1.775795412
1,1.748547669
2,3.131164196
2,2.700561782
2,3.463343497
2,2.789562594
2,2.690017397
2,3.075088363
2,2.268536134
2,2.543395122
2,2.936072314
2,2.929295214
3,3.734273727
3,3.522279866
3,3.614397000
3,3.681106399
3,4.019568292
3,4.009051009
3,3.667233566
3,3.872125995
3,3.825152924
3,3.864657674
4,4.610301342
4,4.466433888
4,5.000570935
4,4.477833276
4,4.022415061
4,5.253429020
4,4.509394628
4,4.822607039
4,4.436831943
4,4.362736530
5,6.478587693
5,5.575207379
5,5.498500241
5,5.683049355
5,5.273849857
5,5.626442158
5,5.258115260
5,5.568868359
5,6.102942749
5,5.701618560
6,7.078967411
6,6.787605487
6,6.518889853
6,6.512756150
6,7.154126444
6,6.906804187
6,6.565181458
6,6.811583460
6,6.536828892
6,6.558969084
7,7.409649922
7,7.647298876
7,6.867447842
7,7.097204623
7,7.414518198
7,7.854309430
7,8.113614501
7,7.818245828
7,7.678737139
7,7.374191893
8,9.065322789
8,7.886044588
8,8.883529492
8,8.994267033
8,9.898565991
8,8.219094198
8,8.842360689
8,9.153127809
8,7.680240558
8,8.219898854
9,9.531956927
9,9.075065171
9,10.065286514
9,9.148325943
9,10.112392789
9,9.923114014
9,9.452569271
9,9.601109893
9,9.862994293
9,9.561750580
10,9.427313778
10,10.239845832
10,9.841859115
10,10.565553575
10,10.627112033
10,10.631014166
10,10.546598230
10,10.288288680
10,10.993229739
10,10.552718028
11,11.566106740
11,11.501091258
11,11.935834334
11,11.900171549
11,11.882779475
11,11.660173097
11,11.141611981
11,10.971736064
11,10.968515999
11,11.424032553
12,12.840891089
12,11.981720932
12,11.919600612
12,11.833015005
12,12.484559453
12,12.198255150
12,12.313489114
12,12.111871443
12,12.003959378
12,12.290550556
13,13.538983596
13,13.161008669
13,14.204815574
13,12.963336650
13,12.927634584
13,13.130432351
13,13.576308865
13,12.865888779
13,13.690552255
13,13.140730223
14,14.133561515
14,13.828593518
14,14.492082300
14,14.578450972
14,14.163642282
14,14.503440491
14,14.125831941
14,13.821083412
14,14.038973956
14,14.031920777
15,14.477663459
15,14.889505450
15,14.717308840
15,15.338893616
15,15.512848952
15,15.216190289
15,15.061294278
15,14.605309047
15,14.722437670
15,14.983983615
16,16.173819857
16,15.638958562
16,15.838262412
16,15.907192770
16,15.589350474
16,16.156602838
16,15.876455420
16,16.443869920
16,15.558128692
16,16.103275469
17,19.508379165
17,17.224155565
17,16.655308721
17,16.993477279
17,16.380388128
17,17.191913154
17,16.334465233
17,16.910754102
17,16.907750210
17,16.881693444
18,17.154910797
18,17.441801298
18,17.751357818
18,18.100712545
18,17.435497720
18,18.006243509
18,18.575061518
18,18.307420505
18,17.407643459
18,18.208007838
19,19.906756929
19,18.360418668
19,18.208374373
19,18.078748201
19,19.251765053
19,18.868045485
19,18.845918856
19,18.213452309
19,18.367436609
19,18.319179641
20,19.810541099
20,20.343407293
20,19.382887339
20,19.715244532
20,19.341116558
20,19.571291538
20,19.331888585
20,19.261267696
20,19.861505776
20,19.136649111
