N,Time
1,1.852708738
1,1.722005116
1,1.786123948
1,1.702809711
1,1.725132278
1,1.781619010
1,1.767416401
1,1.805014327
1,1.727287223
1,1.739910844
2,3.510177095
2,3.474727869
2,3.391391667
2,3.508437537
2,3.374116746
2,3.433094886
2,3.464600617
2,3.494098154
2,3.511518693
2,3.487357625
3,5.361898811
3,5.195797127
3,5.151161912
3,5.147508611
3,5.038344679
3,5.129207088
3,4.995438612
3,4.982607634
3,4.941019637
3,4.980912191
4,6.837080591
4,6.637847548
4,6.675640999
4,6.680583667
4,6.619061607
4,6.699378471
4,6.681889629
4,6.628059043
4,6.707364842
4,6.617804568
5,8.365752706
5,8.309058034
5,8.276449436
5,8.313211381
5,8.292465167
5,8.411876266
5,8.273887717
5,8.292322874
5,8.232702501
5,8.332093105
6,10.101750301
6,9.954251125
6,9.964186016
6,10.044100777
6,9.991964874
6,9.947517424
6,9.985404940
6,9.965384055
6,10.009397001
6,9.971439398
7,11.871310808
7,11.683869953
7,11.817858480
7,11.903223651
7,11.930445245
7,11.902631934
7,11.736966083
7,11.952041002
7,12.021322252
7,11.943900347
8,13.631989177
8,13.531759269
8,13.609799215
8,13.602700062
8,13.965474138
8,13.811212104
8,13.776796287
8,13.838521766
8,14.018582771
8,13.701407225
9,15.755662714
9,15.715919483
9,15.639786184
9,15.543015802
9,15.627185223
9,15.784179229
9,15.715806927
9,17.446641316
9,15.898703775
9,15.600839176
10,17.427097503
10,17.267266096
10,16.814242203
10,17.270727703
10,17.297828035
10,17.248586016
10,17.081595417
10,17.572252960
10,16.958098150
10,16.934550538
11,18.604046263
11,18.569181407
11,18.772184679
11,18.834960211
11,18.744052688
11,21.157539415
11,19.071714671
11,18.958812651
11,19.183857210
11,19.184815604
12,21.209625512
12,20.750338568
12,20.509147420
12,20.580529326
12,20.694051584
12,20.631356560
12,20.690018517
12,20.579389458
12,20.892640890
12,20.969168580
13,23.322343535
13,23.123374945
13,23.880498238
13,22.487865310
13,22.709002924
13,22.531309180
13,22.473504474
13,22.543593306
13,22.996295385
13,22.610724121
14,24.349329757
14,24.285430058
14,24.919025953
14,24.804743991
14,24.803163474
14,24.986148948
14,25.604168009
14,25.650871981
14,24.719135572
14,25.473937313
15,26.716595291
15,26.418208011
15,26.271533869
15,26.056754481
15,25.721862375
15,25.903853209
15,26.486657962
15,26.306872329
15,26.303186663
15,26.523210390
16,27.991734589
16,27.927819953
16,28.118845572
16,28.005897674
16,27.834207722
16,29.521252408
16,28.117800462
16,28.036959059
16,28.103211946
16,28.321114258
17,29.662991843
17,29.379927009
17,29.644782123
17,29.718223393
17,30.084702924
17,29.824188979
17,31.043919847
17,29.961143623
17,29.798263996
17,30.038976063
18,33.163789924
18,32.388221376
18,32.095951341
18,32.311651032
18,32.360944299
18,31.782922925
18,31.670578341
18,31.744226169
18,31.392389136
18,32.564643685
19,34.002990990
19,33.535120579
19,33.076619898
19,33.551453726
19,34.546569985
19,33.571756028
19,33.575127501
19,33.725148415
19,33.549848256
19,33.214926064
20,35.230231874
20,35.154081148
20,35.323442880
20,36.981138105
20,35.498572855
20,35.469299975
20,35.077142175
20,35.277561307
20,35.329560807
20,35.332449480
