N,Time
1,1.129712521
1,1.145691496
1,1.150824978
1,1.143975113
1,1.149081666
1,1.151016903
1,1.156470294
1,1.152669027
1,1.164835111
1,1.166817711
2,2.322968231
2,2.302711326
2,2.355221473
2,2.418529865
2,2.459492733
2,2.406372787
2,2.311865672
2,2.299873561
2,2.307271387
2,2.378935888
3,3.560153605
3,3.570329710
3,3.558942809
3,3.567123297
3,3.700621138
3,3.687894391
3,3.706031785
3,3.663528247
3,3.664298128
3,3.676130653
4,4.871393850
4,4.830011834
4,5.056174959
4,5.040369831
4,4.896250669
4,4.923475364
4,5.027343578
4,5.104311033
4,5.046855274
4,5.048473284
5,6.200968402
5,6.304096393
5,6.306104521
5,6.385569397
5,6.224275249
5,6.302908722
5,6.210931639
5,6.237024084
5,6.321722143
5,6.367542033
6,8.329531354
6,10.224210896
6,7.836085552
6,7.730575492
6,7.658612618
6,7.679266069
6,7.517422504
6,7.689768140
6,7.666196567
6,7.676203914
7,8.922363792
7,10.495765478
7,10.828611126
7,11.008939014
7,10.552103500
7,10.400419505
7,10.861387982
7,10.047191505
7,9.824197459
7,9.630278300
8,10.952550552
8,10.840059981
8,10.721769498
8,10.720400930
8,10.466301545
8,10.674385566
8,10.803995030
8,10.830666546
8,10.740761307
8,10.608582083
9,11.873026598
9,11.857747033
9,12.120637620
9,11.857559219
9,12.190186970
9,11.939093299
9,12.008849760
9,12.066151165
9,11.924663356
9,11.861195606
10,13.377905653
10,13.580075546
10,13.703309049
10,13.440404223
10,13.337640454
10,13.049202350
10,13.612229187
10,13.536984398
10,13.291970782
10,13.459232422
11,14.811625065
11,15.086379803
11,14.718613373
11,14.602839939
11,14.531414066
11,14.512614614
11,14.711233339
11,14.817305321
11,14.543798794
11,14.701476487
12,16.285878555
12,16.139915229
12,15.931192902
12,16.209135718
12,15.953762765
12,16.041911539
12,15.876284753
12,15.787893474
12,16.528120517
12,15.763269599
13,17.151968965
13,17.289700583
13,17.210993740
13,16.919528184
13,16.813220723
13,16.931401948
13,16.912464688
13,16.737316147
13,16.936334969
13,17.218199027
14,19.066213481
14,18.487265324
14,18.308896917
14,17.995758605
14,17.965531937
14,18.213913121
14,18.155861162
14,17.962487181
14,18.202655298
14,18.320498644
15,19.149248939
15,19.092784064
15,21.868175139
15,19.517509016
15,19.647309688
15,19.391067483
15,19.012297387
15,19.442530486
15,19.335924531
15,19.360551451
16,20.856834218
16,20.962418304
16,20.698326252
16,20.861157784
16,21.223450038
16,20.789639709
16,21.052974037
16,21.043170837
16,20.484002713
16,20.607265240
17,22.518499654
17,22.009710954
17,22.554090975
17,22.270752478
17,21.504802283
17,21.850849611
17,21.805258705
17,21.872752336
17,22.022235093
17,21.803039314
18,22.912563483
18,23.392489639
18,23.506997998
18,23.252290120
18,23.105419171
18,23.249358172
18,23.325601769
18,23.115269879
18,23.482792607
18,23.422583755
19,24.805853909
19,26.593731308
19,24.357464803
19,24.273008872
19,24.862174994
19,24.466090338
19,24.859402054
19,24.073061658
19,24.258794952
19,24.589355542
20,25.960135175
20,25.575035120
20,25.583422702
20,26.147873542
20,25.918298221
20,26.011814562
20,26.563951452
20,26.031317233
20,26.142111906
20,25.667129728
